# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +6.4329999999999998e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2874225139078050e-04 -7.1794905966287037e-01 -2.8791717718112410e-03
-1.0000000000000001e-01 +6.4329996400657219e+00 +0.0000000000000000e+00 -9.9999999999136308e-02 +4.2867939457058812e-04 -7.1794904145028182e-01 -2.8789294865843242e-03
-2.0000000000000001e-01 +6.4329985602628961e+00 +0.0000000000000000e+00 -1.9999999999309054e-01 +4.2863000734781392e-04 -7.1794904413574034e-01 -2.8786749644300730e-03
-3.0000000000000004e-01 +6.4329967605915206e+00 +0.0000000000000000e+00 -2.9999999997668053e-01 +4.2859222999194660e-04 -7.1794906174176210e-01 -2.8784073427885895e-03
-4.0000000000000002e-01 +6.4329942410515786e+00 +0.0000000000000000e+00 -3.9999999994472418e-01 +4.2856420276662037e-04 -7.1794908829101478e-01 -2.8781257591019957e-03
-5.0000000000000000e-01 +6.4329910016430434e+00 +0.0000000000000000e+00 -4.9999999989203942e-01 +4.2854406592991040e-04 -7.1794911780625403e-01 -2.8778293508114933e-03
-5.9999999999999998e-01 +6.4329870423658866e+00 +0.0000000000000000e+00 -5.9999999981344410e-01 +4.2852995973462882e-04 -7.1794914431025292e-01 -2.8775172553544216e-03
-6.9999999999999996e-01 +6.4329823632200824e+00 +0.0000000000000000e+00 -6.9999999970375615e-01 +4.2852002442861971e-04 -7.1794916182573476e-01 -2.8771886101613010e-03
-7.9999999999999993e-01 +6.4329769642056132e+00 +0.0000000000000000e+00 -7.9999999955779344e-01 +4.2851240025505602e-04 -7.1794916437530576e-01 -2.8768425526528962e-03
-8.9999999999999991e-01 +6.4329708453224779e+00 +0.0000000000000000e+00 -8.9999999937037389e-01 +4.2850522745273555e-04 -7.1794914598138682e-01 -2.8764782202372698e-03
-9.9999999999999989e-01 +6.4329640065706952e+00 +0.0000000000000000e+00 -9.9999999913631532e-01 +4.2849664625637654e-04 -7.1794910066614503e-01 -2.8760947503068315e-03
-1.0999999999999999e+00 +6.4329564479503123e+00 +0.0000000000000000e+00 -1.0999999988504356e+00 +4.2848510979606090e-04 -7.1794902763751522e-01 -2.8756915031969287e-03
-1.2000000000000000e+00 +6.4329481694614001e+00 +0.0000000000000000e+00 -1.1999999985075529e+00 +4.2847032280586106e-04 -7.1794894684745303e-01 -2.8752687310694474e-03
-1.3000000000000000e+00 +6.4329391711040378e+00 +0.0000000000000000e+00 -1.2999999981024848e+00 +4.2845230294887444e-04 -7.1794888343372065e-01 -2.8748269090292456e-03
-1.4000000000000001e+00 +6.4329294528782874e+00 +0.0000000000000000e+00 -1.3999999976300492e+00 +4.2843106792779984e-04 -7.1794886253378032e-01 -2.8743665121613573e-03
-1.5000000000000002e+00 +6.4329190147841686e+00 +0.0000000000000000e+00 -1.4999999970850644e+00 +4.2840663549231528e-04 -7.1794890928476618e-01 -2.8738880155293220e-03
-1.6000000000000003e+00 +6.4329078568216334e+00 +0.0000000000000000e+00 -1.5999999964623479e+00 +4.2837902344645528e-04 -7.1794904882345079e-01 -2.8733918941734977e-03
-1.7000000000000004e+00 +6.4328959789905396e+00 +0.0000000000000000e+00 -1.6999999957567176e+00 +4.2834824965598642e-04 -7.1794930628621756e-01 -2.8728786231093911e-03
-1.8000000000000005e+00 +6.4328833812906279e+00 +0.0000000000000000e+00 -1.7999999949629915e+00 +4.2831433205578289e-04 -7.1794970680902903e-01 -2.8723486773259760e-03
-1.9000000000000006e+00 +6.4328700637214951e+00 +0.0000000000000000e+00 -1.8999999940759873e+00 +4.2827728865720081e-04 -7.1795027552739710e-01 -2.8718025317840123e-03
-2.0000000000000004e+00 +6.4328560262825691e+00 +0.0000000000000000e+00 -1.9999999930905230e+00 +4.2823713755545247e-04 -7.1795103757635270e-01 -2.8712406614143753e-03
-2.1000000000000005e+00 +6.4328412689730854e+00 +0.0000000000000000e+00 -2.0999999920014161e+00 +4.2819386034510879e-04 -7.1795200637457446e-01 -2.8706636336594681e-03
-2.2000000000000006e+00 +6.4328257917920766e+00 +0.0000000000000000e+00 -2.1999999908034846e+00 +4.2814729230019303e-04 -7.1795314847724567e-01 -2.8700723861196172e-03
-2.3000000000000007e+00 +6.4328095947384023e+00 +0.0000000000000000e+00 -2.2999999894915462e+00 +4.2809723205868407e-04 -7.1795441872435639e-01 -2.8694679489576569e-03
-2.4000000000000008e+00 +6.4327926778107933e+00 +0.0000000000000000e+00 -2.3999999880604181e+00 +4.2804347819175076e-04 -7.1795577195676119e-01 -2.8688513523649705e-03
-2.5000000000000009e+00 +6.4327750410078979e+00 +0.0000000000000000e+00 -2.4999999865049181e+00 +4.2798582919311492e-04 -7.1795716301629764e-01 -2.8682236265663210e-03
-2.6000000000000010e+00 +6.4327566843283250e+00 +0.0000000000000000e+00 -2.5999999848198638e+00 +4.2792408346841332e-04 -7.1795854674590187e-01 -2.8675858018246902e-03
-2.7000000000000011e+00 +6.4327376077706928e+00 +0.0000000000000000e+00 -2.6999999830000725e+00 +4.2785803932456258e-04 -7.1795987798972527e-01 -2.8669389084461025e-03
-2.8000000000000012e+00 +6.4327178113336707e+00 +0.0000000000000000e+00 -2.7999999810403620e+00 +4.2778749495912436e-04 -7.1796111159325016e-01 -2.8662839767844609e-03
-2.9000000000000012e+00 +6.4326972950160268e+00 +0.0000000000000000e+00 -2.8999999789355497e+00 +4.2771224844967079e-04 -7.1796220240340758e-01 -2.8656220372463778e-03
-3.0000000000000013e+00 +6.4326760588166723e+00 +0.0000000000000000e+00 -2.9999999766804528e+00 +4.2763209774315244e-04 -7.1796310526869278e-01 -2.8649541202960043e-03
-3.1000000000000014e+00 +6.4326541027347064e+00 +0.0000000000000000e+00 -3.0999999742698892e+00 +4.2754706966766993e-04 -7.1796378974267283e-01 -2.8642809608854869e-03
-3.2000000000000015e+00 +6.4326314267694409e+00 +0.0000000000000000e+00 -3.1999999716986762e+00 +4.2745810704124590e-04 -7.1796428419327563e-01 -2.8636021117160564e-03
-3.3000000000000016e+00 +6.4326080309203775e+00 +0.0000000000000000e+00 -3.2999999689616315e+00 +4.2736638168939400e-04 -7.1796463169078617e-01 -2.8629168299295939e-03
-3.4000000000000017e+00 +6.4325839151871644e+00 +0.0000000000000000e+00 -3.3999999660535725e+00 +4.2727306543630615e-04 -7.1796487530405428e-01 -2.8622243726788166e-03
-3.5000000000000018e+00 +6.4325590795695566e+00 +0.0000000000000000e+00 -3.4999999629693170e+00 +4.2717933010648893e-04 -7.1796505810036593e-01 -2.8615239971274084e-03
-3.6000000000000019e+00 +6.4325335240673676e+00 +0.0000000000000000e+00 -3.5999999597036827e+00 +4.2708634752640048e-04 -7.1796522314531042e-01 -2.8608149604501362e-03
-3.7000000000000020e+00 +6.4325072486804293e+00 +0.0000000000000000e+00 -3.6999999562514869e+00 +4.2699528952608784e-04 -7.1796541350265142e-01 -2.8600965198329813e-03
-3.8000000000000020e+00 +6.4324802534085492e+00 +0.0000000000000000e+00 -3.7999999526075476e+00 +4.2690732794082242e-04 -7.1796567223419416e-01 -2.8593679324732586e-03
-3.9000000000000021e+00 +6.4324525382514661e+00 +0.0000000000000000e+00 -3.8999999487666819e+00 +4.2682363461273731e-04 -7.1796604239965534e-01 -2.8586284555797586e-03
-4.0000000000000018e+00 +6.4324241032088061e+00 +0.0000000000000000e+00 -3.9999999447237076e+00 +4.2674538139246369e-04 -7.1796656705653250e-01 -2.8578773463728588e-03
-4.1000000000000014e+00 +6.4323949482800415e+00 +0.0000000000000000e+00 -4.0999999404734426e+00 +4.2667336974883319e-04 -7.1796727591988274e-01 -2.8571142018036220e-03
-4.2000000000000011e+00 +6.4323650734644655e+00 +0.0000000000000000e+00 -4.1999999360107036e+00 +4.2660691959701838e-04 -7.1796814534294617e-01 -2.8563399776940016e-03
-4.3000000000000007e+00 +6.4323344787612111e+00 +0.0000000000000000e+00 -4.2999999313303086e+00 +4.2654498048590839e-04 -7.1796913833936316e-01 -2.8555559695441516e-03
-4.4000000000000004e+00 +6.4323031641692872e+00 +0.0000000000000000e+00 -4.3999999264270739e+00 +4.2648650199492052e-04 -7.1797021792364590e-01 -2.8547634728044407e-03
-4.5000000000000000e+00 +6.4322711296876163e+00 +0.0000000000000000e+00 -4.4999999212958182e+00 +4.2643043373650650e-04 -7.1797134711124888e-01 -2.8539637828721366e-03
-4.5999999999999996e+00 +6.4322383753150714e+00 +0.0000000000000000e+00 -4.5999999159313578e+00 +4.2637572535866039e-04 -7.1797248891863730e-01 -2.8531581950880834e-03
-4.6999999999999993e+00 +6.4322049010505120e+00 +0.0000000000000000e+00 -4.6999999103285095e+00 +4.2632132654742583e-04 -7.1797360636335950e-01 -2.8523480047333862e-03
-4.7999999999999989e+00 +6.4321707068928218e+00 +0.0000000000000000e+00 -4.7999999044820916e+00 +4.2626618702940825e-04 -7.1797466246411445e-01 -2.8515345070260884e-03
-4.8999999999999986e+00 +6.4321357928409473e+00 +0.0000000000000000e+00 -4.8999998983869206e+00 +4.2620925657428421e-04 -7.1797562024082462e-01 -2.8507189971178496e-03
-4.9999999999999982e+00 +6.4321001588939337e+00 +0.0000000000000000e+00 -4.9999998920378133e+00 +4.2614948499731527e-04 -7.1797644271470296e-01 -2.8499027700906272e-03
-5.0999999999999979e+00 +6.4320638050509604e+00 +0.0000000000000000e+00 -5.0999998854295878e+00 +4.2608623222183692e-04 -7.1797710360986289e-01 -2.8490868857805204e-03
-5.1999999999999975e+00 +6.4320267313113639e+00 +0.0000000000000000e+00 -5.1999998785570609e+00 +4.2602049849052397e-04 -7.1797761945795413e-01 -2.8482714633029111e-03
-5.2999999999999972e+00 +6.4319889376746273e+00 +0.0000000000000000e+00 -5.2999998714150500e+00 +4.2595369422800231e-04 -7.1797801749322354e-01 -2.8474563866600004e-03
-5.3999999999999968e+00 +6.4319504241403518e+00 +0.0000000000000000e+00 -5.3999998639983726e+00 +4.2588722998981507e-04 -7.1797832495090730e-01 -2.8466415399312811e-03
-5.4999999999999964e+00 +6.4319111907082283e+00 +0.0000000000000000e+00 -5.4999998563018453e+00 +4.2582251646830483e-04 -7.1797856906727409e-01 -2.8458268072774980e-03
-5.5999999999999961e+00 +6.4318712373780116e+00 +0.0000000000000000e+00 -5.5999998483202864e+00 +4.2576096449849064e-04 -7.1797877707966806e-01 -2.8450120729446317e-03
-5.6999999999999957e+00 +6.4318305641494931e+00 +0.0000000000000000e+00 -5.6999998400485126e+00 +4.2570398506394040e-04 -7.1797897622655316e-01 -2.8441972212678566e-03
-5.7999999999999954e+00 +6.4317891710224728e+00 +0.0000000000000000e+00 -5.7999998314813412e+00 +4.2565298930263775e-04 -7.1797919374755581e-01 -2.8433821366755227e-03
-5.8999999999999950e+00 +6.4317470579967324e+00 +0.0000000000000000e+00 -5.8999998226135899e+00 +4.2560938851284285e-04 -7.1797945688350595e-01 -2.8425667036931176e-03
-5.9999999999999947e+00 +6.4317042250720080e+00 +0.0000000000000000e+00 -5.9999998134400760e+00 +4.2557459415894905e-04 -7.1797979287648317e-01 -2.8417508069472478e-03
-6.0999999999999943e+00 +6.4316606722479639e+00 +0.0000000000000000e+00 -6.0999998039556171e+00 +4.2554931573006433e-04 -7.1798022190495525e-01 -2.8409345387689477e-03
-6.1999999999999940e+00 +6.4316163995241720e+00 +0.0000000000000000e+00 -6.1999997941550307e+00 +4.2553145411159879e-04 -7.1798073588761746e-01 -2.8401188219494868e-03
-6.2999999999999936e+00 +6.4315714069001206e+00 +0.0000000000000000e+00 -6.2999997840331332e+00 +4.2551820772185513e-04 -7.1798131967581391e-01 -2.8393047868522136e-03
-6.3999999999999932e+00 +6.4315256943752281e+00 +0.0000000000000000e+00 -6.3999997735847423e+00 +4.2550677460846871e-04 -7.1798195811807142e-01 -2.8384935637962498e-03
-6.4999999999999929e+00 +6.4314792619488586e+00 +0.0000000000000000e+00 -6.4999997628046744e+00 +4.2549435243284083e-04 -7.1798263605998158e-01 -2.8376862830542626e-03
-6.5999999999999925e+00 +6.4314321096203351e+00 +0.0000000000000000e+00 -6.5999997516877471e+00 +4.2547813845457888e-04 -7.1798333834408246e-01 -2.8368840748502354e-03
-6.6999999999999922e+00 +6.4313842373889578e+00 +0.0000000000000000e+00 -6.6999997402287779e+00 +4.2545532951594419e-04 -7.1798404980973674e-01 -2.8360880693572314e-03
-6.7999999999999918e+00 +6.4313356452540171e+00 +0.0000000000000000e+00 -6.7999997284225833e+00 +4.2542312202630797e-04 -7.1798475529301431e-01 -2.8352993966951692e-03
-6.8999999999999915e+00 +6.4312863332148087e+00 +0.0000000000000000e+00 -6.8999997162639808e+00 +4.2537871194661572e-04 -7.1798543962657291e-01 -2.8345191869285922e-03
-6.9999999999999911e+00 +6.4312363012706513e+00 +0.0000000000000000e+00 -6.9999997037477870e+00 +4.2531929477386001e-04 -7.1798608763953786e-01 -2.8337485700644367e-03
-7.0999999999999908e+00 +6.4311855494208983e+00 +0.0000000000000000e+00 -7.0999996908688194e+00 +4.2524288766511025e-04 -7.1798668846104663e-01 -2.8329885691645591e-03
-7.1999999999999904e+00 +6.4311340776649493e+00 +0.0000000000000000e+00 -7.1999996776218946e+00 +4.2515079613169129e-04 -7.1798724843406470e-01 -2.8322397796805253e-03
-7.2999999999999901e+00 +6.4310818860022438e+00 +0.0000000000000000e+00 -7.2999996640018292e+00 +4.2504514806090434e-04 -7.1798777820922521e-01 -2.8315026901028213e-03
-7.3999999999999897e+00 +6.4310289744322535e+00 +0.0000000000000000e+00 -7.3999996500034415e+00 +4.2492807163776384e-04 -7.1798828844194618e-01 -2.8307777888445457e-03
-7.4999999999999893e+00 +6.4309753429544685e+00 +0.0000000000000000e+00 -7.4999996356215473e+00 +4.2480169535680614e-04 -7.1798878979260350e-01 -2.8300655642388155e-03
-7.5999999999999890e+00 +6.4309209915683869e+00 +0.0000000000000000e+00 -7.5999996208509648e+00 +4.2466814803389060e-04 -7.1798929292670499e-01 -2.8293665045361670e-03
-7.6999999999999886e+00 +6.4308659202735079e+00 +0.0000000000000000e+00 -7.6999996056865099e+00 +4.2452955881800119e-04 -7.1798980851506256e-01 -2.8286810979019582e-03
-7.7999999999999883e+00 +6.4308101290693154e+00 +0.0000000000000000e+00 -7.7999995901230008e+00 +4.2438805720303906e-04 -7.1799034723396560e-01 -2.8280098324137575e-03
-7.8999999999999879e+00 +6.4307536179552711e+00 +0.0000000000000000e+00 -7.8999995741552533e+00 +4.2424577303961573e-04 -7.1799091976535478e-01 -2.8273531960587585e-03
-7.9999999999999876e+00 +6.4306963869308031e+00 +0.0000000000000000e+00 -7.9999995577780849e+00 +4.2410483654683865e-04 -7.1799153679699357e-01 -2.8267116767311667e-03
-8.0999999999999872e+00 +6.4306384359952951e+00 +0.0000000000000000e+00 -8.0999995409863121e+00 +4.2396718798217120e-04 -7.1799220523781548e-01 -2.8260857245620808e-03
